0.18.14         Allow Fedora to update ChibiOS configs. (#18698)
0.18.15         Keychron Q3 I2C & CKLED2001 transfer speedup (#18780)
0.18.16         Refactor to avoid deprecated wmic execution (#18122)
0.18.17         fix: mousekey doesn't work with trackpoint (#18474)
0.18.2          Redefinition of MIN is avoided in midi.c (#18203)
0.18.3          Remove non promicro pins from converters (#18239)
0.18.4          Install correct package on Fedora (#18243)
0.18.5          Remove use of legacy keycode (#18281)
0.18.6          GMMK2: Fix 'ISO' within product name (#18322)
0.18.7          Fix int8_t overflow in RGB heatmap effect (#18410)
0.18.8          Remove legacy keycodes from unit tests (#18430)
0.18.9          `:flash`: print bootloader (#18569)
0.19.0          Merge remote-tracking branch 'upstream/develop'
0.19.1          Fix Czech sendstring LUT (#19193)
0.19.2          Fixup EFL and F4's sector selection. (#19221)
0.19.3          0.19.3
0.19.4          Fix non-functional RGBLIGHT_EFFECT_TWINKLE on ARM (#19335)
0.19.5          Minor alignment of rgb_breathe_table generator (#19403)
0.19.6          Allow for specifying the number of symbols to output. (#19497)
0.5.0           Merge pull request #1063 from osamuaoki/master
0.5.1           [skip build] testing travis script
0.5.10          Merge pull request #1057 from priyadi/selectable_output
0.5.100         Merge pull request #1571 from BalzGuenat/grave-esc-fix
0.5.101         Wrapped process_leader.c in #ifndef DISABLE_LEADER to allow compilation with DISABLE_LEADER defined.
0.5.102         Required overridden function for keymaps in EEPROM
0.5.103         Reverting CMD Changes
0.5.104         adds redirects for docs
0.5.105         Correct if-statement
0.5.106         Fix Planck Steno layout with new error message (remove MIDI).
0.5.107         stop compiling ez after build, rework ssh ids
0.5.108         Fix avoid certificate errors that occur during '2-setup-environment-win.bat'
0.5.109         Merge branch 'master' of https://github.com/qmk/qmk_firmware
0.5.11          Merge pull request #1046 from LukeSilva/master
0.5.110         update 9key readme
0.5.111         Fix broken link
0.5.112         update travis script
0.5.113         Add split ansi layout and talljoe's keymap.
0.5.114         Add mbsurfer Let's Split keymap with RGB layer indicators (#1638)
0.5.115         add bin targets - closes #1648, fixes #1647
0.5.116         add a `git-submodule` make target.
0.5.117         Update drashna's keymap  (#1649)
0.5.118         add UC_OSX_RALT to make unicode use the Right Alt key on OSX
0.5.119         Alterations and documentation updates for j3rn Ergodox EZ keymap (#1656)
0.5.12          Merge pull request #1068 from adzenith/master
0.5.120         Fix Kitt and its default behavior (#1674)
0.5.121         Improve and simplify RGB Knight mode (#1677)
0.5.122         update some keymaps that broke w/defaults
0.5.123         fix for toggle tap dance
0.5.124         Updates send_string functionality, adds terminal feature (#1657)
0.5.125         Cleaned, revised, and updated my keymaps to reflect new changes/defaults (#1712)
0.5.126         [core] fix rgb source include
0.5.127         Address issue #1713 (#1728)
0.5.128         Fixed a few typos and spelling errors in auto shift feature document
0.5.129         Adding my keymap with Colemak Mod-DH
0.5.13          Merge pull request #1071 from dungdung/rgb_tweaks
0.5.130         Removed unneeded code from keymap
0.5.131         added matrixman layout
0.5.132         Fix dynamic macros on ChibiOS keyboards
0.5.133         add note to makefile for future use
0.5.134         hack to force new tag
0.5.135         Added BLE support for USB-USB converter. (#1824)
0.5.136         Fix avrdude message to not mention any specific device model.
0.5.137         Address #1689 by using a formula to define the breathing curve (#1692)
0.5.138         Creates a userspace for keymaps (#1559)
0.5.139         Added ajp10304 Planck layout (#1887)
0.5.14          Merge pull request #1062 from luizribeiro/fix-win
0.5.140         Added berfarah's custom keyboard layout
0.5.141         Added a new keycode for cycling through RBG modes which reverses directions when shift is hold.
0.5.142         ergodox qwerty_code_friendly: add macro keys (#1918)
0.5.143         Fix for issue https://github.com/qmk/qmk_firmware/issues/1751
0.5.144         Added Chimera Ortho keymap
0.5.145         Add EditorConfig file (#1930)
0.5.146         Add EditorConfig file (#1930)
0.5.147         layout(infinity ergodox): dudeofawesome's layout (#1932)
0.5.148         RETRO_TAPPING (#1922)
0.5.149         Fix pointing device feature
0.5.15          Merge b4e30d392969b000eb9a87065fc1caaf33d670e1 into d639bd2021b697849bb11e521fc142292ab7e023
0.5.150         Improvements to documentation (#1919)
0.5.151         Add nano switch pad
0.5.152         convert to unix line-endings [skip ci]
0.5.153         ignore more makefiles
0.5.154         update template readme
0.5.155         adds per-layer rgb color option to ez
0.5.156         make it easy to customize logo image
0.5.157         make it easy to customize logo image
0.5.158         make it easy to customize logo image
0.5.159         QMK DFU bootloader generation (#2009)
0.5.16          accept numbers in travis build
